KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
HF,45120.0,6.0844169150154945,0.1315,0.1386,44375,56827,Pipistrellus nathusii,0.26,0.565,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,44160.0,20.267764879223794,990.8635,990.8698,42656,71059,Pipistrellus nathusii,0.232,0.516,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,48000.0,7.462703824565148,1020.2825,1020.2883,46953,61623,Pipistrellus pipistrellus,0.268,0.505,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,44160.0,17.545005516345014,1050.1075,1050.1155,42656,65440,Pipistrellus nathusii,0.264,0.511,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,43200.0,26.090024274857374,1080.5825,1080.5895,36640,76509,Myotis daubentonii,0.44,0.552,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,45120.0,6.171104142426457,1110.3305,1110.3374,42656,63150,Myotis daubentonii,0.211,0.515,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,44160.0,7.143509150845211,1141.3875,1141.3932,41796,62137,Pipistrellus nathusii,0.253,0.55,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,54720.0,29.31353876488504,1170.3355,1170.343,37500,91117,Myotis daubentonii,0.538,0.564,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,46080.0,12.100599096214603,1200.0125,1200.0185,43515,64475,Pipistrellus nathusii,0.164,0.548,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
HF,46080.0,1.701603685903819,1230.4425,1230.4491,45234,66411,Pipistrellus pipistrellus,0.218,0.543,-1,Echolocation,192000,/app/recordings_2023/20230620_080000_copy.WAV
